Identificador_Identifier;Tipo_Type;Latitud_Latitude;Longitud_Longitude;ExactitudHorizontal_HorzAccuracy;NivelConfHoriz_HorzConfLevel;ResolucionHoriz_HorzResolution;SistRefHorizontal_HorzRefSyst;Elevacion_Elevation;ExactitudVertical_VertAccuracy;NivelConfVertical_VertConfLevel;ResolucionVert_VertResolution;SistRefVertical_VertRefSyst;Altura_Height;UnidadMedida_UOM;IdOriginador_OriginatorId;IdFuente_SourceId;TipoMedicion_MeasurementType;FechaMedicion_MeasurementDate;Señalizado_Marking;Iluminado_Lighting;Frangible_Frangibility;TipoGeometria_GeometryType;Integridad_Integrity;NotaIntegridad_IntegrityRemark;AMDT;PUB;WEF
LEPA-OBS-03009-001-2015;Sistema Iluminación/Electrical Exit Light;393233.5765N;0024343.4044E;0.012;95;0.001;WGE;6.806;0.011;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02947-001-2015;Sistema Iluminación/Electrical Exit Light;393247.9561N;0024239.9944E;0.006;95;0.001;WGE;4.7;0.05;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151119;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02951-024-2015;Sistema Iluminación/Electrical Exit Light;393311.6710N;0024342.0192E;0.007;95;0.001;WGE;3.981;0.021;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02862-003-2015;Sistema Iluminación/Electrical Exit Light;393233.4902N;0024326.9088E;0.2;95;0.001;WGE;15.938;0.2;95;0.001;MSL;12.058;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151130;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03001-010-2015;Sistema Iluminación/Electrical Exit Light;393252.2954N;0024427.0998E;0.011;95;0.001;WGE;8.481;0.02;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03016-004-2015;Sistema Iluminación/Electrical Exit Light;393240.9156N;0024415.0663E;0.008;95;0.001;WGE;7.372;0.021;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03002-006-2015;Sistema Iluminación/Electrical Exit Light;393254.5472N;0024429.1923E;0.011;95;0.001;WGE;8.334;0.012;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02976-033-2015;Sistema Iluminación/Electrical Exit Light;393259.1721N;0024424.8353E;0.002;95;0.001;WGE;8.231;0.011;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151119;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03673-001-2015;Tendido Eléctrico/Transmission Line;393603.3816N;0024433.2974E;0.2;95;0.001;WGE;75.545;0.2;95;0.001;MSL;26.358;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20131217;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-00152-001-2015;Árbol/Tree;393241.6841N;0024228.4604E;0.2;95;0.001;WGE;11.396;0.2;95;0.001;MSL;4.826;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151130;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02968-001-2015;Sistema Iluminación/Electrical Exit Light;393304.6763N;0024330.4449E;0.007;95;0.001;WGE;3.587;0.021;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02951-044-2015;Sistema Iluminación/Electrical Exit Light;393335.3066N;0024432.0159E;0.006;95;0.001;WGE;3.872;0.011;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02823-001-2015;Árbol/Tree;393123.6079N;0024848.7993E;0.2;95;0.001;WGE;147.166;0.2;95;0.001;MSL;18.356;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151129;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-00974-001-2015;Árbol/Tree;393328.9925N;0024347.3018E;0.2;95;0.001;WGE;10.981;0.2;95;0.001;MSL;7.811;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151125;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02595-001-2015;Edificio/Building;393231.1893N;0024322.5411E;0.2;95;0.001;WGE;7.829;0.2;95;0.001;MSL;4.469;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151130;No;No;No;Superficial/Polygon;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02992-012-2015;Sistema Iluminación/Electrical Exit Light;393324.5227N;0024404.8371E;0.008;95;0.001;WGE;3.21;0.013;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02334-001-2015;Señal/Sign;393312.2245N;0024345.4751E;0.008;95;0.001;WGE;3.229;0.011;95;0.001;MSL;0.9;m;AENA S.A.;CONSULTOP;GPS;20151126;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02951-045-2015;Sistema Iluminación/Electrical Exit Light;393336.1952N;0024433.8990E;0.007;95;0.001;WGE;3.981;0.011;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02977-004-2015;Sistema Iluminación/Electrical Exit Light;393256.9942N;0024423.6010E;0.008;95;0.001;WGE;7.969;0.014;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01552-001-2015;Sistema Iluminación/Electrical Exit Light;393241.8924N;0024412.8733E;0.006;95;0.001;WGE;7.908;0.01;95;0.001;MSL;0.68;m;AENA S.A.;CONSULTOP;GPS;20151119;Si/Yes;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03508-001-2015;Árbol/Tree;393124.0362N;0024650.0638E;0.5;95;0.001;WGE;80.913;0.25;95;0.001;MSL;15.443;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151202;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03599-001-2015;Árbol/Tree;393249.5861N;0024758.1775E;0.5;95;0.001;WGE;95.225;0.25;95;0.001;MSL;8.575;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151202;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03025-005-2015;Sistema Iluminación/Electrical Exit Light;393325.6605N;0024537.9807E;0.012;95;0.001;WGE;2.812;0.015;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01373-001-2015;Cota/Natural Highpoint;393243.7808N;0024439.8334E;0.1;95;0.001;WGE;12.968;0.1;95;0.001;MSL;0;m;AENA S.A.;CONSULTOP;GPS;20151203;No;Si/Yes;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03600-001-2015;Árbol/Tree;393528.4742N;0024412.1340E;0.5;95;0.001;WGE;61.002;0.25;95;0.001;MSL;23.232;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151202;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01699-001-2015;Edificio/Building;393237.0499N;0024333.2562E;0.2;95;0.001;WGE;14.109;0.2;95;0.001;MSL;9.599;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151124;No;No;No;Superficial/Polygon;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02401-001-2015;Edificio/Building;393309.1516N;0024358.8272E;0.008;95;0.001;WGE;5.872;0.014;95;0.001;MSL;2.664;m;AENA S.A.;CONSULTOP;GPS;20151201;No;No;No;Superficial/Polygon;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02020-006-2015;Obstáculo Móvil/Mobile Obstacle;393222.6850N;0024327.2209E;0.008;95;0.001;WGE;8.784;0.013;95;0.001;MSL;4.8;m;AENA S.A.;CONSULTOP;GPS;20151120;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03547-001-2015;Poste-Mástil/Pole;393249.3014N;0024752.0239E;0.5;95;0.001;WGE;83.655;0.25;95;0.001;MSL;7.355;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151202;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02971-002-2015;Sistema Iluminación/Electrical Exit Light;393315.2241N;0024352.8421E;0.008;95;0.001;WGE;2.231;0.026;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03005-001-2015;Sistema Iluminación/Electrical Exit Light;393245.5910N;0024412.5069E;0.012;95;0.001;WGE;8.731;0.012;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02946-004-2015;Sistema Iluminación/Electrical Exit Light;393246.9123N;0024237.8244E;0.003;95;0.001;WGE;4.481;0.015;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151119;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02970-004-2015;Sistema Iluminación/Electrical Exit Light;393313.2611N;0024348.1246E;0.008;95;0.001;WGE;3.255;0.009;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02971-016-2015;Sistema Iluminación/Electrical Exit Light;393318.2683N;0024406.5246E;0.012;95;0.001;WGE;3.362;0.017;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02873-001-2015;Árbol/Tree;393222.6581N;0024326.3418E;0.2;95;0.001;WGE;13.372;0.2;95;0.001;MSL;9.132;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151130;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02985-001-2015;Sistema Iluminación/Electrical Exit Light;393309.6519N;0024323.1210E;0.008;95;0.001;WGE;4.091;0.012;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-00878-003-2015;Tendido Eléctrico/Transmission Line;393242.8760N;0024206.1402E;0.5;95;0.001;WGE;19.341;0.25;95;0.001;MSL;9.881;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151203;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02997-001-2015;Sistema Iluminación/Electrical Exit Light;393339.1593N;0024438.1623E;0.008;95;0.001;WGE;3.731;0.015;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02996-009-2015;Sistema Iluminación/Electrical Exit Light;393339.7629N;0024436.1052E;0.015;95;0.001;WGE;3.784;0.011;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02922-001-2015;Árbol/Tree;393137.9314N;0024730.5834E;0.2;95;0.001;WGE;93.38;0.2;95;0.001;MSL;9.07;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151201;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02952-023-2015;Sistema Iluminación/Electrical Exit Light;393310.3200N;0024337.1968E;0.013;95;0.001;WGE;4.101;0.013;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03568-001-2015;Árbol/Tree;393516.1644N;0024656.8385E;0.5;95;0.001;WGE;59.876;0.25;95;0.001;MSL;26.186;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151202;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03023-012-2015;Sistema Iluminación/Electrical Exit Light;393320.4078N;0024538.5146E;0.007;95;0.001;WGE;2.564;0.016;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01087-001-2015;Depósito/Tank;393334.8134N;0024400.8274E;0.5;95;0.001;WGE;7.616;0.1;95;0.001;MSL;4.68;m;AENA S.A.;CONSULTOP;GPS;20151203;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01379-001-2015;Edificio/Building;393240.3655N;0024432.9499E;0.05;95;0.001;WGE;9.737;0.1;95;0.001;MSL;2.5;m;AENA S.A.;CONSULTOP;GPS;20151203;Si/Yes;Si/Yes;No;Superficial/Polygon;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02997-004-2015;Sistema Iluminación/Electrical Exit Light;393340.5650N;0024440.4137E;0.01;95;0.001;WGE;2.731;0.012;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01559-001-2015;Señal/Sign;393251.6683N;0024432.7259E;0.007;95;0.001;WGE;7.388;0.013;95;0.001;MSL;1.05;m;AENA S.A.;CONSULTOP;GPS;20151119;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01959-003-2015;Valla/Fence;393252.9996N;0024426.8047E;0.006;95;0.001;WGE;8.355;0.015;95;0.001;MSL;0.57;m;AENA S.A.;CONSULTOP;GPS;20151119;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01155-001-2015;Vegetación/Vegetation;393338.8684N;0024442.4871E;0.5;95;0.001;WGE;4.794;0.5;95;0.001;MSL;3;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151204;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01558-001-2015;Señal/Sign;393244.8845N;0024416.0945E;0.007;95;0.001;WGE;8.558;0.011;95;0.001;MSL;1.08;m;AENA S.A.;CONSULTOP;GPS;20151119;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02130-002-2015;Otros/Other;393237.7596N;0024245.1278E;0.012;95;0.001;WGE;4.65;0.027;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151122;Si/Yes;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02986-001-2015;Sistema Iluminación/Electrical Exit Light;393310.2321N;0024324.9073E;0.008;95;0.001;WGE;4.034;0.015;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03836-028-2015;Cota/Natural Highpoint;393240.8404N;0024433.2378E;0.006;95;0.001;WGE;10.151;0.015;95;0.001;MSL;0;m;AENA S.A.;CONSULTOP;GPS;20151120;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03021-024-2015;Sistema Iluminación/Electrical Exit Light;393248.6571N;0024419.6243E;0.011;95;0.001;WGE;9.231;0.012;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02304-001-2015;Señal/Sign;393304.6626N;0024417.9096E;0.006;95;0.001;WGE;7.015;0.009;95;0.001;MSL;0.746;m;AENA S.A.;CONSULTOP;GPS;20151123;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01466-001-2015;Árbol/Tree;393224.9496N;0024333.7117E;0.2;95;0.001;WGE;12.357;0.2;95;0.001;MSL;6.367;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151130;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03548-001-2015;Tendido Eléctrico/Transmission Line;393229.9649N;0024736.2000E;0.5;95;0.001;WGE;90.988;0.25;95;0.001;MSL;7.698;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151202;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02050-051-2015;Obstáculo Móvil/Mobile Obstacle;393238.6383N;0024246.9539E;0.008;95;0.001;WGE;8.727;0.014;95;0.001;MSL;4.8;m;AENA S.A.;CONSULTOP;GPS;20151122;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03025-004-2015;Sistema Iluminación/Electrical Exit Light;393325.4745N;0024537.4746E;0.014;95;0.001;WGE;2.851;0.014;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01388-001-2015;Edificio/Building;393235.8760N;0024424.2888E;0.5;95;0.001;WGE;13.969;0.5;95;0.001;MSL;9.459;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151203;No;No;No;Superficial/Polygon;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03013-006-2015;Sistema Iluminación/Electrical Exit Light;393231.8922N;0024351.3764E;0.007;95;0.001;WGE;7.143;0.012;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03001-009-2015;Sistema Iluminación/Electrical Exit Light;393252.7231N;0024427.5697E;0.011;95;0.001;WGE;8.47;0.013;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01187-001-2015;Torre/Tower;393253.1237N;0024416.1224E;0.2;95;0.001;WGE;40.443;0.2;95;0.001;MSL;32.903;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151127;No;Si/Yes;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02973-022-2015;Sistema Iluminación/Electrical Exit Light;393301.3383N;0024421.9278E;0.01;95;0.001;WGE;8.132;0.033;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01493-001-2015;Sistema Iluminación/Electrical Exit Light;393228.4865N;0024321.2821E;0.5;95;0.001;WGE;12.715;0.1;95;0.001;MSL;9.85;m;AENA S.A.;CONSULTOP;GPS;20151203;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03008-003-2015;Sistema Iluminación/Electrical Exit Light;393238.3091N;0024354.6584E;0.012;95;0.001;WGE;7.046;0.016;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01086-001-2015;Antena/Antenna;393334.5938N;0024400.2046E;0.2;95;0.001;WGE;16.322;0.2;95;0.001;MSL;12.662;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151125;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02806-001-2015;Árbol/Tree;393218.1336N;0024724.6372E;0.2;95;0.001;WGE;95.47;0.2;95;0.001;MSL;20.11;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151129;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-00963-003-2015;Poste-Mástil/Pole;393320.0412N;0024327.0621E;0.5;95;0.001;WGE;12.555;0.1;95;0.001;MSL;6;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151203;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02987-002-2015;Sistema Iluminación/Electrical Exit Light;393316.1573N;0024337.0461E;0.007;95;0.001;WGE;3.784;0.012;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03014-001-2015;Sistema Iluminación/Electrical Exit Light;393234.9526N;0024353.1310E;0.007;95;0.001;WGE;7.489;0.013;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02050-025-2015;Obstáculo Móvil/Mobile Obstacle;393310.3894N;0024308.9215E;0.01;95;0.001;WGE;7.296;0.02;95;0.001;MSL;4.8;m;AENA S.A.;CONSULTOP;GPS;20151121;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02967-005-2015;Sistema Iluminación/Electrical Exit Light;393304.7630N;0024330.2527E;0.009;95;0.001;WGE;3.7;0.042;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03016-001-2015;Sistema Iluminación/Electrical Exit Light;393242.4176N;0024414.1028E;0.008;95;0.001;WGE;7.863;0.02;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02826-005-2015;Tendido Eléctrico/Transmission Line;393132.7165N;0024732.3442E;0.2;95;0.001;WGE;104.854;0.2;95;0.001;MSL;26.144;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151201;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03577-001-2015;Tendido Eléctrico/Transmission Line;393603.5824N;0024444.1438E;0.2;95;0.001;WGE;72.27;0.2;95;0.001;MSL;18.188;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20131220;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01367-008-2015;Valla/Fence;393241.9962N;0024436.7142E;0.007;95;0.001;WGE;14.759;0.016;95;0.001;MSL;2.759;m;AENA S.A.;CONSULTOP;GPS;20151120;No;Si/Yes;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01169-001-2015;Torre/Tower;393310.8873N;0024401.7885E;0.2;95;0.001;WGE;39.491;0.2;95;0.001;MSL;36.211;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151124;No;Si/Yes;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01727-005-2015;Tendido Eléctrico/Transmission Line;393216.6934N;0024838.8172E;0.2;95;0.001;WGE;153.312;0.2;95;0.001;MSL;26.422;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151129;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02991-005-2015;Sistema Iluminación/Electrical Exit Light;393325.1853N;0024359.5825E;0.008;95;0.001;WGE;3.071;0.015;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02335-001-2015;Señal/Sign;393313.7701N;0024348.5544E;0.01;95;0.001;WGE;3.228;0.013;95;0.001;MSL;0.76;m;AENA S.A.;CONSULTOP;GPS;20151126;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03021-029-2015;Sistema Iluminación/Electrical Exit Light;393252.0110N;0024426.5523E;0.009;95;0.001;WGE;8.482;0.014;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02327-001-2015;Señal/Sign;393253.6901N;0024305.2117E;0.006;95;0.001;WGE;4.564;0.013;95;0.001;MSL;0.84;m;AENA S.A.;CONSULTOP;GPS;20151126;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01650-009-2015;Tendido Eléctrico/Transmission Line;393550.6831N;0024629.2235E;0.5;95;0.001;WGE;155.098;0.1;95;0.001;MSL;33.7;m;AENA S.A.;CONSULTOP;Intersección/Intersection;20151203;Si/Yes;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02428-001-2015;Árbol/Tree;393247.6933N;0024843.0650E;0.2;95;0.001;WGE;123.166;0.2;95;0.001;MSL;8.306;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151120;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
